stonk_name,stonk_link
Ford Motor,https://www.investing.com/equities/ford-motor-co
Apple,https://www.investing.com/equities/apple-computer-inc
Ascent Solar,https://www.investing.com/equities/ascent-solar-tech
Bank of America,https://www.investing.com/equities/bank-of-america
AT&T,https://www.investing.com/equities/at-t
AMD,https://www.investing.com/equities/adv-micro-device
NVIDIA,https://www.investing.com/equities/nvidia-corp
Marvell,https://www.investing.com/equities/marvell-technology-group-ltd
Petroleo Brasileiro Petrobras ADR,https://www.investing.com/equities/petroleo-bras
Vale ADR,https://www.investing.com/equities/vale-s.a.--americ
Microsoft,https://www.investing.com/equities/microsoft-corp
Pfizer,https://www.investing.com/equities/pfizer
FuelCell Energy,https://www.investing.com/equities/fuelcell-energy
Intel,https://www.investing.com/equities/intel-corp
Tesla,https://www.investing.com/equities/tesla-motors
Wells Fargo&Co,https://www.investing.com/equities/wells-fargo
Cleveland-Cliffs,https://www.investing.com/equities/cleveland-cliffs
Cisco,https://www.investing.com/equities/cisco-sys-inc
Delta Air Lines,https://www.investing.com/equities/delta-air-lines-new
Citigroup,https://www.investing.com/equities/citigroup
ViacomCBS,https://www.investing.com/equities/viacom-cl-b
Sirius XM,https://www.investing.com/equities/sirius-satellite-radio-inc
Verizon,https://www.investing.com/equities/verizon-communications
Riot Blockchain,https://www.investing.com/equities/venaxis
Comcast,https://www.investing.com/equities/comcast-corp-new
Exxon Mobil,https://www.investing.com/equities/exxon-mobil
Barrick Gold,https://www.investing.com/equities/barrick-gold-corp.
CSX,https://www.investing.com/equities/csx-corp
Coca-Cola,https://www.investing.com/equities/coca-cola-co
PG E,https://www.investing.com/equities/pacific-gas-electric
Yamana Gold,https://www.investing.com/equities/yamana-gold
Southwestern Energy,https://www.investing.com/equities/southwestern-energy-company
Freeport-McMoran,https://www.investing.com/equities/freeport-mcm
General Motors,https://www.investing.com/equities/gen-motors
Micron,https://www.investing.com/equities/micron-tech
Macy’s Inc,https://www.investing.com/equities/macys
United States Steel,https://www.investing.com/equities/us-steel-corp
Marathon Oil,https://www.investing.com/equities/marathon-oil
Bristol-Myers Squibb,https://www.investing.com/equities/bristol-myer-squiib
United Airlines Holdings,https://www.investing.com/equities/united-continenta
Transocean,https://www.investing.com/equities/transocea-ltd
HP Inc,https://www.investing.com/equities/hewlett-pack
BIOLASE,https://www.investing.com/equities/biolase-tech
EQT,https://www.investing.com/equities/eqt-corporation
Occidental,https://www.investing.com/equities/occidental-petro
APA Corp,https://www.investing.com/equities/apache-corp
Walt Disney,https://www.investing.com/equities/disney
Walmart,https://www.investing.com/equities/wal-mart-stores
Huntington Bancshares,https://www.investing.com/equities/huntgtn-bkshr
Merck&Co,https://www.investing.com/equities/merck---co
Activision Blizzard,https://www.investing.com/equities/activision-inc
Teva ADR,https://www.investing.com/equities/teva-pharmaceutical-inds-ltd
BlackBerry,https://www.investing.com/equities/research-in-motion-ltd
Walgreens Boots,https://www.investing.com/equities/walgreen-co
JPMorgan,https://www.investing.com/equities/jp-morgan-chase
Kroger,https://www.investing.com/equities/kroger-co
Kinross Gold,https://www.investing.com/equities/kinross-gold
Qualcomm,https://www.investing.com/equities/qualcomm-inc
NextEra Energy,https://www.investing.com/equities/nextera-energy-inc
Procter&Gamble,https://www.investing.com/equities/procter-gamble
Boeing,https://www.investing.com/equities/boeing-co
Visa A,https://www.investing.com/equities/visa-inc
Gap,https://www.investing.com/equities/gap.inc
Cemex ADR,https://www.investing.com/equities/cemex-sab-de-cv-adr
Oracle,https://www.investing.com/equities/oracle-corp
Chevron,https://www.investing.com/equities/chevron
Lumen Technologies,https://www.investing.com/equities/centurylink
Baidu,https://www.investing.com/equities/baidu.com
Regions Financial,https://www.investing.com/equities/regions-fin
ICICI Bank ADR,https://www.investing.com/equities/icici-bank
CTi Biopharma,https://www.investing.com/equities/cell-therapeutics
eBay,https://www.investing.com/equities/ebay-inc
Devon Energy,https://www.investing.com/equities/devon-energy
Mitsubishi UFJ Financial ADR,https://www.investing.com/equities/mits-ufj-financial-grp
Morgan Stanley,https://www.investing.com/equities/morgan-stanley
Schlumberger,https://www.investing.com/equities/schlumberger-ltd
Harmony Gold Mining,https://www.investing.com/equities/harmony-gold-mng
KeyCorp,https://www.investing.com/equities/keycorp-new
Trip.com ADR,https://www.investing.com/equities/ctrip.com-international
Discovery A,https://www.investing.com/equities/discovery-holding-co
Amyris,https://www.investing.com/equities/amyris
Halliburton,https://www.investing.com/equities/halliburton-co
Newmont Goldcorp,https://www.investing.com/equities/newmont-mining
Salesforce.com,https://www.investing.com/equities/salesforce-com
Boston Scientific,https://www.investing.com/equities/boston-scien-cp
Host Hotels Resorts,https://www.investing.com/equities/host-hotels---res
Altria,https://www.investing.com/equities/altria-group
J&J,https://www.investing.com/equities/johnson-johnson
Southwest Airlines,https://www.investing.com/equities/sth-west-airlines
Viatris,https://www.investing.com/equities/mylan-inc
Exelon,https://www.investing.com/equities/exelon-corp
JetBlue,https://www.investing.com/equities/jet-blue
Cumberland,https://www.investing.com/equities/cumberland-pharma
Dell Tech,https://www.investing.com/equities/dell-inc
General Electric,https://www.investing.com/equities/general-electric
Kraft Heinz,https://www.investing.com/equities/kraft-foods-inc
Baker Hughes,https://www.investing.com/equities/baker-hughes
Marathon Petroleum,https://www.investing.com/equities/marathon-petroleum-corp.
TJX,https://www.investing.com/equities/tjx-co-inc
Gilead,https://www.investing.com/equities/gilead-sciences-inc
Applied Materials,https://www.investing.com/equities/applied-matls-inc
MGM,https://www.investing.com/equities/mgm-mirage
Western Union,https://www.investing.com/equities/western-union
Philip Morris,https://www.investing.com/equities/philip-morris-intl
Charles Schwab,https://www.investing.com/equities/charles-schwab
Keurig Dr Pepper,https://www.investing.com/equities/dr-pepper-snapple
NetEase,https://www.investing.com/equities/netease.com
Las Vegas Sands,https://www.investing.com/equities/las-vegas-sands
ConocoPhillips,https://www.investing.com/equities/conoco-phillips
Dow,https://www.investing.com/equities/dow-chemical
Coterra Energy,https://www.investing.com/equities/cabot-oil---gas
Starbucks,https://www.investing.com/equities/starbucks-corp
Williams,https://www.investing.com/equities/williams-cos
Infosys ADR,https://www.investing.com/equities/infosy-tech
Gold Fields ADR,https://www.investing.com/equities/gold-fields-lts
Discovery Communications C,https://www.investing.com/equities/discovery-communications-(c)
Adobe,https://www.investing.com/equities/adobe-sys-inc
Truist Financial Corp,https://www.investing.com/equities/bb-t-corp
Medtronic,https://www.investing.com/equities/medtronic
IBM,https://www.investing.com/equities/ibm
PepsiCo,https://www.investing.com/equities/pepsico
Ballard,https://www.investing.com/equities/ballard-power-systems-inc
Nordstrom,https://www.investing.com/equities/nordstrom-inc
U.S. Bancorp,https://www.investing.com/equities/us-bancorp
The AES,https://www.investing.com/equities/aes-corp
Raytheon Technologies,https://www.investing.com/equities/united-tech
Alcoa,https://www.investing.com/equities/alcoa
Cameco,https://www.investing.com/equities/cameco-corp
Berkshire Hathaway B,https://www.investing.com/equities/berkshire-hathaway
Fiserv,https://www.investing.com/equities/fiserv-inc
Southern,https://www.investing.com/equities/southern-co
MetLife,https://www.investing.com/equities/metlife-inc
AGNC Invest,https://www.investing.com/equities/american-capital-agency
CenterPoint Energy,https://www.investing.com/equities/centerpoint
CVS Health Corp,https://www.investing.com/equities/cvs-corp
Under Armour A,https://www.investing.com/equities/under-armour
Genworth,https://www.investing.com/equities/genworth-finl
Microchip,https://www.investing.com/equities/microchip-technology-inc
Seelos Therapeutics,https://www.investing.com/equities/apricus-biosciences
Clovis,https://www.investing.com/equities/clovis-oncology
Fifth Third,https://www.investing.com/equities/fifth-third-bk
PPL,https://www.investing.com/equities/ppl-corp
Kohls Corp,https://www.investing.com/equities/kohls-corp
Bank of NY Mellon,https://www.investing.com/equities/bk-of-ny
Flex,https://www.investing.com/equities/flextronics-intl-ltd
TechnipFMC,https://www.investing.com/equities/fmc-technologies-inc
Wynn Resorts,https://www.investing.com/equities/wynn-resorts-ltd
Abbott Labs,https://www.investing.com/equities/abbott-laboratories
Home Depot,https://www.investing.com/equities/home-depot
Qurate Retail A,https://www.investing.com/equities/liberty-media-inter
AIG,https://www.investing.com/equities/american-intl-group
Colgate-Palmolive,https://www.investing.com/equities/colgate-palmo
EOG Resources,https://www.investing.com/equities/eog-resources
Nike,https://www.investing.com/equities/nike
Kimco,https://www.investing.com/equities/kimco-realty
Texas Instruments,https://www.investing.com/equities/texas-instru
Netflix,"https://www.investing.com/equities/netflix,-inc."
Mastercard,https://www.investing.com/equities/mastercard-cl-a
Target,https://www.investing.com/equities/target
Corning,https://www.investing.com/equities/corning-inc
Fidelity National Info,https://www.investing.com/equities/fidelity-natl-in
Teck Resources B,https://www.investing.com/equities/teck-cominco
Mosaic,https://www.investing.com/equities/mosaic-company
First Horizon National,https://www.investing.com/equities/first-horizon-ntl
NiSource,https://www.investing.com/equities/ni-source-inc
Dynavax,https://www.investing.com/equities/dynavax-tech
DISH Network,https://www.investing.com/equities/dish-network
Blackstone Group,https://www.investing.com/equities/the-blackstone-group
Clean Energy,https://www.investing.com/equities/clean-energy-fuel
Xilinx,https://www.investing.com/equities/xilinx-inc
Invesco,https://www.investing.com/equities/invesco-ltd
IPG,https://www.investing.com/equities/interpublic-grp
Nucor,https://www.investing.com/equities/nucor
Eli Lilly,https://www.investing.com/equities/eli-lilly-and-co
Johnson Controls,https://www.investing.com/equities/johnson-controls
GameStop Corp,https://www.investing.com/equities/gamestop-corp
Valero Energy,https://www.investing.com/equities/valero-energy
Agenus,https://www.investing.com/equities/agenus-inc
Nuance Communications,https://www.investing.com/equities/nuance-communications
Endo Int,https://www.investing.com/equities/endo-pharmaceuticals
General Mills,https://www.investing.com/equities/general-mills
American Express,https://www.investing.com/equities/american-express
Western Digital,https://www.investing.com/equities/western-digital
Best Buy,https://www.investing.com/equities/best-buy
SunPower,https://www.investing.com/equities/sunpower-corporation
International Paper,https://www.investing.com/equities/intl-paper-co
MGIC Investment,https://www.investing.com/equities/mgic-inv
Lowe’s,https://www.investing.com/equities/lowes-companies
Amazon.com,https://www.investing.com/equities/amazon-com-inc
VMware,https://www.investing.com/equities/vm-ware-inc
DuPont De Nemours,https://www.investing.com/equities/du-pont
Juniper,https://www.investing.com/equities/juniper-networks-inc
Range Resources,https://www.investing.com/equities/range-resources-corp
Nov,https://www.investing.com/equities/ntl-oilwell-varc
Tapestry,https://www.investing.com/equities/coach
Simon Property,https://www.investing.com/equities/simon-prop-grp
Aflac,https://www.investing.com/equities/aflac-inc
Amgen,https://www.investing.com/equities/amgen-inc
