,stonk_name,stonk_link,stonk_ticker
0,Ford Motor,https://www.investing.com/equities/ford-motor-co,F
1,Apple,https://www.investing.com/equities/apple-computer-inc,AAPL
2,Ascent Solar,https://www.investing.com/equities/ascent-solar-tech,ASTI
3,Bank of America,https://www.investing.com/equities/bank-of-america,BAC
4,AT&T,https://www.investing.com/equities/at-t,T
5,AMD,https://www.investing.com/equities/adv-micro-device,AMD
6,NVIDIA,https://www.investing.com/equities/nvidia-corp,NVDA
7,Marvell,https://www.investing.com/equities/marvell-technology-group-ltd,MRVL
8,Petroleo Brasileiro Petrobras ADR,https://www.investing.com/equities/petroleo-bras,PBR
9,Vale ADR,https://www.investing.com/equities/vale-s.a.--americ,VALE
10,Microsoft,https://www.investing.com/equities/microsoft-corp,MSFT
11,Pfizer,https://www.investing.com/equities/pfizer,PFE
12,FuelCell Energy,https://www.investing.com/equities/fuelcell-energy,FCEL
13,Intel,https://www.investing.com/equities/intel-corp,INTC
14,Tesla,https://www.investing.com/equities/tesla-motors,TSLA
15,Wells Fargo&Co,https://www.investing.com/equities/wells-fargo,WFC
16,Cleveland-Cliffs,https://www.investing.com/equities/cleveland-cliffs,CLF
17,Cisco,https://www.investing.com/equities/cisco-sys-inc,CSCO
18,Delta Air Lines,https://www.investing.com/equities/delta-air-lines-new,DAL
19,Citigroup,https://www.investing.com/equities/citigroup,C
20,ViacomCBS,https://www.investing.com/equities/viacom-cl-b,VIAC
21,Sirius XM,https://www.investing.com/equities/sirius-satellite-radio-inc,SIRI
22,Verizon,https://www.investing.com/equities/verizon-communications,VZ
23,Riot Blockchain,https://www.investing.com/equities/venaxis,RIOT
24,Comcast,https://www.investing.com/equities/comcast-corp-new,CMCSA
25,Exxon Mobil,https://www.investing.com/equities/exxon-mobil,XOM
26,Barrick Gold,https://www.investing.com/equities/barrick-gold-corp.,GOLD
27,CSX,https://www.investing.com/equities/csx-corp,CSX
28,Coca-Cola,https://www.investing.com/equities/coca-cola-co,KO
29,PG E,https://www.investing.com/equities/pacific-gas-electric,PCG
30,Yamana Gold,https://www.investing.com/equities/yamana-gold,AUY
31,Southwestern Energy,https://www.investing.com/equities/southwestern-energy-company,SWN
32,Freeport-McMoran,https://www.investing.com/equities/freeport-mcm,FCX
33,General Motors,https://www.investing.com/equities/gen-motors,GM
34,Micron,https://www.investing.com/equities/micron-tech,MU
35,Macy’s Inc,https://www.investing.com/equities/macys,M
36,United States Steel,https://www.investing.com/equities/us-steel-corp,X
37,Marathon Oil,https://www.investing.com/equities/marathon-oil,MRO
38,Bristol-Myers Squibb,https://www.investing.com/equities/bristol-myer-squiib,BMY
39,United Airlines Holdings,https://www.investing.com/equities/united-continenta,UAL
40,Transocean,https://www.investing.com/equities/transocea-ltd,RIG
41,HP Inc,https://www.investing.com/equities/hewlett-pack,HPQ
42,BIOLASE,https://www.investing.com/equities/biolase-tech,BIOL
43,EQT,https://www.investing.com/equities/eqt-corporation,EQT
44,Occidental,https://www.investing.com/equities/occidental-petro,OXY
45,APA Corp,https://www.investing.com/equities/apache-corp,APA
46,Walt Disney,https://www.investing.com/equities/disney,DIS
47,Walmart,https://www.investing.com/equities/wal-mart-stores,WMT
48,Huntington Bancshares,https://www.investing.com/equities/huntgtn-bkshr,HBAN
49,Merck&Co,https://www.investing.com/equities/merck---co,MRK
50,Activision Blizzard,https://www.investing.com/equities/activision-inc,ATVI
51,Teva ADR,https://www.investing.com/equities/teva-pharmaceutical-inds-ltd,TEVA
52,BlackBerry,https://www.investing.com/equities/research-in-motion-ltd,BB
53,Walgreens Boots,https://www.investing.com/equities/walgreen-co,WBA
54,JPMorgan,https://www.investing.com/equities/jp-morgan-chase,JPM
55,Kroger,https://www.investing.com/equities/kroger-co,KR
56,Kinross Gold,https://www.investing.com/equities/kinross-gold,KGC
57,Qualcomm,https://www.investing.com/equities/qualcomm-inc,QCOM
58,NextEra Energy,https://www.investing.com/equities/nextera-energy-inc,NEE
59,Procter&Gamble,https://www.investing.com/equities/procter-gamble,PG
60,Boeing,https://www.investing.com/equities/boeing-co,BA
61,Visa A,https://www.investing.com/equities/visa-inc,V
62,Gap,https://www.investing.com/equities/gap.inc,GPS
63,Cemex ADR,https://www.investing.com/equities/cemex-sab-de-cv-adr,CX
64,Oracle,https://www.investing.com/equities/oracle-corp,ORCL
65,Chevron,https://www.investing.com/equities/chevron,CVX
66,Lumen Technologies,https://www.investing.com/equities/centurylink,LUMN
67,Baidu,https://www.investing.com/equities/baidu.com,BIDU
68,Regions Financial,https://www.investing.com/equities/regions-fin,RF
69,ICICI Bank ADR,https://www.investing.com/equities/icici-bank,IBN
70,CTi Biopharma,https://www.investing.com/equities/cell-therapeutics,CTIC
71,eBay,https://www.investing.com/equities/ebay-inc,EBAY
72,Devon Energy,https://www.investing.com/equities/devon-energy,DVN
73,Mitsubishi UFJ Financial ADR,https://www.investing.com/equities/mits-ufj-financial-grp,MUFG
74,Morgan Stanley,https://www.investing.com/equities/morgan-stanley,MS
75,Schlumberger,https://www.investing.com/equities/schlumberger-ltd,SLB
76,Harmony Gold Mining,https://www.investing.com/equities/harmony-gold-mng,HMY
77,KeyCorp,https://www.investing.com/equities/keycorp-new,KEY
78,Trip.com ADR,https://www.investing.com/equities/ctrip.com-international,TCOM
79,Discovery A,https://www.investing.com/equities/discovery-holding-co,DISCA
80,Amyris,https://www.investing.com/equities/amyris,AMRS
81,Halliburton,https://www.investing.com/equities/halliburton-co,HAL
82,Newmont Goldcorp,https://www.investing.com/equities/newmont-mining,NEM
83,Salesforce.com,https://www.investing.com/equities/salesforce-com,CRM
84,Boston Scientific,https://www.investing.com/equities/boston-scien-cp,BSX
85,Host Hotels Resorts,https://www.investing.com/equities/host-hotels---res,HST
86,Altria,https://www.investing.com/equities/altria-group,MO
87,J&J,https://www.investing.com/equities/johnson-johnson,JNJ
88,Southwest Airlines,https://www.investing.com/equities/sth-west-airlines,LUV
89,Viatris,https://www.investing.com/equities/mylan-inc,VTRS
90,Exelon,https://www.investing.com/equities/exelon-corp,EXC
91,JetBlue,https://www.investing.com/equities/jet-blue,JBLU
92,Cumberland,https://www.investing.com/equities/cumberland-pharma,CPIX
93,Dell Tech,https://www.investing.com/equities/dell-inc,DELL
94,General Electric,https://www.investing.com/equities/general-electric,GE
95,Kraft Heinz,https://www.investing.com/equities/kraft-foods-inc,KHC
96,Baker Hughes,https://www.investing.com/equities/baker-hughes,BKR
97,Marathon Petroleum,https://www.investing.com/equities/marathon-petroleum-corp.,MPC
98,TJX,https://www.investing.com/equities/tjx-co-inc,TJX
99,Gilead,https://www.investing.com/equities/gilead-sciences-inc,GILD
100,Applied Materials,https://www.investing.com/equities/applied-matls-inc,AMAT
101,MGM,https://www.investing.com/equities/mgm-mirage,MGM
102,Western Union,https://www.investing.com/equities/western-union,WU
103,Philip Morris,https://www.investing.com/equities/philip-morris-intl,PM
104,Charles Schwab,https://www.investing.com/equities/charles-schwab,SCHW
105,Keurig Dr Pepper,https://www.investing.com/equities/dr-pepper-snapple,KDP
106,NetEase,https://www.investing.com/equities/netease.com,NTES
107,Las Vegas Sands,https://www.investing.com/equities/las-vegas-sands,LVS
108,ConocoPhillips,https://www.investing.com/equities/conoco-phillips,COP
109,Dow,https://www.investing.com/equities/dow-chemical,DOW
110,Coterra Energy,https://www.investing.com/equities/cabot-oil---gas,CTRA
111,Starbucks,https://www.investing.com/equities/starbucks-corp,SBUX
112,Williams,https://www.investing.com/equities/williams-cos,WMB
113,Infosys ADR,https://www.investing.com/equities/infosy-tech,INFY
114,Gold Fields ADR,https://www.investing.com/equities/gold-fields-lts,GFI
115,Discovery Communications C,https://www.investing.com/equities/discovery-communications-(c),DISCK
116,Adobe,https://www.investing.com/equities/adobe-sys-inc,ADBE
117,Truist Financial Corp,https://www.investing.com/equities/bb-t-corp,TFC
118,Medtronic,https://www.investing.com/equities/medtronic,MDT
119,IBM,https://www.investing.com/equities/ibm,IBM
120,PepsiCo,https://www.investing.com/equities/pepsico,PEP
121,Ballard,https://www.investing.com/equities/ballard-power-systems-inc,BLDP
122,Nordstrom,https://www.investing.com/equities/nordstrom-inc,JWN
123,U.S. Bancorp,https://www.investing.com/equities/us-bancorp,USB
124,The AES,https://www.investing.com/equities/aes-corp,AES
